Culture#,N1,N2,Analysis,m.mean.t3,m.sd.t3,w.mean.t3,w.sd.t3
1,117,55,t,2.25,0.67,2.61,0.56
2,47,81,t,1.73,0.65,2.16,0.7
3,52,48,t,2.41,0.8,2.1,0.73
4,70,49,t,1.97,0.85,2.14,0.75
5,265,235,t,2.22,0.62,2.63,0.59
6,103,144,t,1.79,0.73,2.44,0.76
7,88,55,t,1.97,0.81,2.29,0.62
8,28,27,t,2.68,0.73,2.81,0.48
9,205,268,t,1.78,0.93,2.43,0.71
10,54,55,t,2.28,0.6,2.58,0.71
11,106,153,t,1.92,0.75,2.37,0.62
12,288,278,t,2.24,0.77,2.81,0.42
13,127,142,t,1.67,0.68,2.15,0.81
14,153,150,t,2.31,0.69,2.46,0.64
15,122,118,t,1.93,0.83,2.29,0.72
16,66,74,t,1.82,0.66,2.24,0.74
17,55,90,t,1.67,0.84,1.97,0.87
18,100,91,t,1.75,0.81,2,0.9
19,55,149,t,1.44,0.81,1.56,0.73
20,530,553,t,1.4,0.74,1.66,0.87
21,46,84,t,1.15,0.6,1.59,0.9
22,67,65,t,1.96,0.69,2.25,0.9
23,55,67,t,1.44,0.64,1.76,0.81
24,46,55,t,1.63,0.7,2.07,0.94
25,177,240,t,1.28,0.72,1.41,0.93
26,67,67,t,1.6,0.83,1.7,0.87
27,44,80,t,1.73,0.68,1.69,0.98
28,89,83,t,1.97,0.77,2.04,0.76
29,56,45,t,1.82,0.5,2.32,0.71
30,34,71,t,1.79,0.64,2.08,0.75
31,639,852,t,1.84,0.69,2.45,0.61
32,66,113,t,1.95,0.75,2.24,0.65
33,78,202,t,1.38,0.74,1.82,0.77
34,75,76,t,1.57,0.69,1.86,0.53
35,275,355,t,1.7,0.75,2.21,0.82
36,61,78,t,2.36,0.79,2.24,0.9
37,95,98,t,2.18,0.9,2.42,0.75
